ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38,3
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,8
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,1
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;49,5
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;51,6
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34,2
2020;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;35,6
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;51,5
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;49,7
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;50,8
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;37,5
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,0
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41,5
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;53,0
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;42,5
2020;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;32,0
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;54,0
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;53,7
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;2PA;Prof. II fascia (associato);F;51,9
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;2PA;Prof. II fascia (associato);M;53,1
